practice_name,canonical_code,postcode,street_address,telephone,email,website_url,nhs_profile_url,latitude,longitude,accepting_new_patients,country,nation,source_type,ods_primary_role_id,ods_primary_role_description,ods_active_roles,ods_org_link,last_change_date,registered_patient_count,registered_patient_count_source,registered_patient_count_source_url,registered_patient_count_snapshot,patient_survey_name,patient_survey_status,patient_survey_level,patient_survey_url,patient_survey_note,google_maps_query
NELSON SURGERY,W95043,CF46 6HL,"BRYNCELYN, NELSON, TREHARRIS",01443 450340,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W95043,2023-08-22,4918,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",NELSON SURGERY CF46 6HL
PRACTICE 1,W95023,CF48 1BZ,"KEIR HARDIE HEALTH PARK, ABERDARE ROAD, MERTHYR TYDFIL",01685 353780,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W95023,2023-08-22,8472,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",PRACTICE 1 CF48 1BZ
PRACTICE 2,W95647,CF48 1BZ,"KEIR HARDIE HEALTH PARK, ABERDARE ROAD, MERTHYR TYDFIL",01685 351492,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W95647,2023-08-22,2791,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",PRACTICE 2 CF48 1BZ
PRACTICE 3 KEIR HARDIE HE,W95005,CF48 1BZ,"KEIR HARDIE HEALTH PARK, ABERDARE ROAD, MERTHYR TYDFIL",01685 351493,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W95005,2023-08-22,3607,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",PRACTICE 3 KEIR HARDIE HE CF48 1BZ
PONTCAE MEDICAL PRACTICE,W95072,CF48 1YE,"DYNEVOR STREET, GEORGETOWN, MERTHYR TYDFIL",01685 384369,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W95072,2023-08-22,12662,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",PONTCAE MEDICAL PRACTICE CF48 1YE
MORLAIS MEDICAL PRACTICE,W95086,CF48 3AL,"BERRY SQUARE, DOWLAIS, MERTHYR TYDFIL",01685 385339,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W95086,2023-08-22,25140,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",MORLAIS MEDICAL PRACTICE CF48 3AL
BROOKSIDE MEDICAL CENTRE,W95634,CF48 4DT,"HEOL AFON TAF, TROEDYRHIW, MERTHYR TYDFIL",01443 693249,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W95634,2023-08-22,,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",BROOKSIDE MEDICAL CENTRE CF48 4DT
LLANDAFF SURGERY,W97619,CF5 2DY,"19A HIGH STREET, LLANDAFF, CARDIFF",029 20576675,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97619,2023-08-22,7676,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",LLANDAFF SURGERY CF5 2DY
FAIRWATER HEALTH CENTRE,W97047,CF5 3JT,"PLASMAWR ROAD, CARDIFF",029 20566291,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97047,2023-08-22,10122,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",FAIRWATER HEALTH CENTRE CF5 3JT
ELY BRIDGE SURGERY,W97040,CF5 4AD,"23 MILL ROAD, ELY, CARDIFF",029 20561808,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97040,2023-08-22,11921,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",ELY BRIDGE SURGERY CF5 4AD
WOODLANDS MEDICAL CENTRE,W97023,CF5 4RG,"1 GREENFARM ROAD, CARDIFF",029 20591444,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97023,2023-08-22,9268,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",WOODLANDS MEDICAL CENTRE CF5 4RG
THE CAERAU LANE SURGERY,W97068,CF5 5LQ,"GREENMOUNT SURGERY, 25 CHURCH ROAD, CARDIFF",029 20591855,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97068,2023-08-22,11770,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",THE CAERAU LANE SURGERY CF5 5LQ
ERYL SURGERY,W97045,CF61 1ST,"LLANTWIT MAJOR & COASTAL, MEDICAL PRACTICE STATION, LLANTWIT MAJOR",01446 793444,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97045,2023-08-22,10528,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",ERYL SURGERY CF61 1ST
ST ATHAN MEDICAL FACILITY,W00198,CF62 4WA,"ST ATHAN MEDICAL FACILTY, ST ATHAN, BARRY",01446 797479,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W00198,2023-08-22,,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",ST ATHAN MEDICAL FACILITY CF62 4WA
WEST QUAY MEDICAL CENTRE,W97001,CF62 5QN,"HOOD ROAD, BARRY",01446 722792,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97001,2023-08-22,14388,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",WEST QUAY MEDICAL CENTRE CF62 5QN
RAVENSCOURT SURGERY,W97046,CF62 8AZ,"VALE GROUP PRACTICE, 36-38 TYNEWYDD ROAD, BARRY",01446 733515,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97046,2024-04-11,19278,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",RAVENSCOURT SURGERY CF62 8AZ
THE PRACTICE OF HEALTH,W97611,CF63 1BA,"31 BARRY ROAD, BARRY",01446 700350,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97611,2023-08-22,8381,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",THE PRACTICE OF HEALTH CF63 1BA
THE WATERFRONT MEDICAL CENTRE,W97032,CF63 4AR,"WATERFRONT MEDICAL CENTRE, HEOL Y LLONGAU, BARRY",01446 734131,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97032,2023-08-22,12472,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",THE WATERFRONT MEDICAL CENTRE CF63 4AR
COURT ROAD SURGERY,W97058,CF63 4YD,"29 COURT ROAD, BARRY",01446 733181,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97058,2023-08-22,7854,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",COURT ROAD SURGERY CF63 4YD
ALBERT ROAD SURGERY,W97057,CF64 1BX,"ALBERT ROAD, PENARTH",0844 4775191,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97057,2023-08-22,,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",ALBERT ROAD SURGERY CF64 1BX
REDLANDS SURGERY,W97003,CF64 3WX,"REDLANDS ROAD, PENARTH",029 20706043,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97003,2023-08-22,9383,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",REDLANDS SURGERY CF64 3WX
STANWELL SURGERY,W97011,CF64 3XE,"PENARTH HEALTHCARE PARTNERSHIP, STANWELL ROAD, PENARTH",029 20703039,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97011,2023-08-22,16440,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",STANWELL SURGERY CF64 3XE
DINAS POWYS MEDICAL CENTRE,W97055,CF64 4RE,"MURCH ROAD, DINAS POWYS",029 20512293,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97055,2023-08-22,11086,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",DINAS POWYS MEDICAL CENTRE CF64 4RE
SULLY SURGERY,W97062,CF64 5TG,"25 SOUTH ROAD, SULLY, PENARTH",02920 530255,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97062,2023-08-22,4857,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",SULLY SURGERY CF64 5TG
COWBRIDGE & VALE MEDICAL PRACTICE,W97038,CF71 7DA,"COWBRIDGE HEALTH CENTRE, THE BROADSHOARD, COWBRIDGE",01446 772237,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97038,2023-08-22,8338,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",COWBRIDGE & VALE MEDICAL PRACTICE CF71 7DA
WESTERN VALE FAMILY PRACTICE,W97052,CF71 7DA,"THE BROADSHOARD, COWBRIDGE",01446 772383,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97052,2023-08-22,13472,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",WESTERN VALE FAMILY PRACTICE CF71 7DA
NEWPARK SURGERY,W95036,CF72 8AJ,"TALBOT GREEN GROUP PRACTICE, HEOL-Y-GYFRAITH, PONTYCLUN",01443 220320,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W95036,2023-08-22,12199,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",NEWPARK SURGERY CF72 8AJ
OLD SCHOOL SURGERY,W95025,CF72 9AA,"SCHOOL STREET, PONTYCLUN",01443 222567,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W95025,2023-08-22,12136,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",OLD SCHOOL SURGERY CF72 9AA
BRYNTIRION SURGERY,W95068,CF81 8SA,"WEST STREET, BARGOED",01443 830796,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W95068,2023-08-22,10837,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",BRYNTIRION SURGERY CF81 8SA
SOUTH STREET SURGERY,W95078,CF81 8SU,"SOUTH STREET, BARGOED",01443 821255,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W95078,2023-08-22,3405,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",SOUTH STREET SURGERY CF81 8SU
OAKFIELD SURGERY,W95065,CF82 7WX,"OAKFIELD STREET, YSTRAD MYNACH, HENGOED",01443 812979,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W95065,2023-08-22,13302,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",OAKFIELD SURGERY CF82 7WX
MEDDYGFA GELLIGAER SURGERY,W95050,CF82 8FQ,"HEOL HEN YSGOL, GELLIGAER, HENGOED",01443 875333,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W95050,2023-08-22,7925,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",MEDDYGFA GELLIGAER SURGERY CF82 8FQ
MARKET STREET PRACTICE,W95046,CF83 1XP,"TONYFELIN MEDICAL CENTRE, TONYFELIN SURGERY, CAERPHILLY",029 20887831,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W95046,2023-08-22,12369,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",MARKET STREET PRACTICE CF83 1XP
NANTGARW ROAD MEDICAL CENTRE,W95049,CF83 2AX,"4 BEDDAU WAY, CAERPHILLY",029 20888118,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W95049,2023-08-22,10038,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",NANTGARW ROAD MEDICAL CENTRE CF83 2AX
COURT HOUSE MEDICAL CENTRE,W95059,CF83 3GH,"HEOL BRO WEN, CAERPHILLY",029 20887316,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W95059,2023-08-22,10601,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",COURT HOUSE MEDICAL CENTRE CF83 3GH
THE VILLAGE SURGERY,W95073,CF83 3LR,"LLANBRADACH CENTRE FOR HEALTH, 12 PENCERRIG STREET, CAERPHILLY",029 20869638,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W95073,2023-08-22,3335,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",THE VILLAGE SURGERY CF83 3LR
ABER MEDICAL CENTRE,W00005,CF83 4AU,"MEDDYGFA TRIDWR, 27-29 THOMAS STREET, CAERPHILLY",0844 4778635,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W00005,2023-08-22,8536,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",ABER MEDICAL CENTRE CF83 4AU
TY BRYN SURGERY,W95008,CF83 8GL,"THE BRYN, TRETHOMAS, CAERPHILLY",029 20868011,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W95008,2023-08-22,11329,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",TY BRYN SURGERY CF83 8GL
MARCHES MEDICAL PRACTICE,W91021,CH4 0NR,"83 MAIN ROAD, BROUGHTON, CHESTER",01244 520615,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W91021,2023-08-22,15314,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",MARCHES MEDICAL PRACTICE CH4 0NR
DEESIDE MEDICAL CENTRE,W91039,CH5 1QA,"17-21 CHESTER ROAD EAST, SHOTTON, DEESIDE",01244 831698,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W91039,2023-08-22,5773,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",DEESIDE MEDICAL CENTRE CH5 1QA
SHOTTON LANE SURGERY,W91036,CH5 1QT,"38 SHOTTON LANE, SHOTTON, DEESIDE",01244 812094,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W91036,2023-08-22,8361,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",SHOTTON LANE SURGERY CH5 1QT
QUEENSFERRY MEDICAL PRACTICE,W91051,CH5 1SY,"PIERCE STREET, QUEENSFERRY, DEESIDE",01244 813340,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W91051,2023-08-22,8749,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",QUEENSFERRY MEDICAL PRACTICE CH5 1SY
THE STABLES MEDICAL,W91015,CH5 3PA,"27 GLYNNE WAY, HAWARDEN, DEESIDE",01244 532223,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W91015,2023-08-22,10041,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",THE STABLES MEDICAL CH5 3PA
